industry_code,industry_name,indicator_id,indicator_name,unit,1981,1986,1991,1996,2001,2006,2011,2016,2021,change_2016_to_2021_pct
G,Wholesale and Retail Trade,12,Labour productivity,thousand NTD,159.0,230.0,433.0,652.0,713.0,850.0,979.0,1028.0,1189.0,15.66
G,Wholesale and Retail Trade,13(1),Gross value added per NTD of assets in actual use,NTD,0.17,0.25,0.18,0.18,0.17,0.21,0.21,0.19,0.17,-9.1
G,Wholesale and Retail Trade,13(2),Gross value added per NTD of fixed assets in actual use,NTD,0.32,0.51,0.28,0.31,0.29,0.4,0.4,0.38,0.35,-6.62
G,Wholesale and Retail Trade,14,Labour compensation as % of total expenditures,%,7.94,8.01,9.05,10.0,8.15,6.4,6.32,7.25,6.81,-0.44
G,Wholesale and Retail Trade,15(1),Value-added ratio,%,65.74,69.1,78.07,75.12,70.16,65.61,63.58,66.36,67.51,1.15
G,Wholesale and Retail Trade,15(2),Profit ratio,%,3.04,3.93,5.22,4.6,6.5,5.88,6.05,6.8,7.07,0.27
G,Wholesale and Retail Trade,15(3),Asset turnover ratio,%,122.96,175.28,105.63,101.52,102.66,148.44,146.81,117.62,110.16,-7.46
I,Accommodation and Food Service,1,Number of enterprises (year-end),establishments,19140.0,27423.0,39766.0,40693.0,62472.0,88739.0,112365.0,144656.0,168184.0,16.26
I,Accommodation and Food Service,2,Number of employees (year-end),persons,106251.0,141509.0,210068.0,240219.0,252867.0,323692.0,418809.0,598173.0,689543.0,15.27
I,Accommodation and Food Service,3,Average annual labour compensation per employed worker,NTD,70747.0,110445.0,188014.0,282396.0,395153.0,366502.0,390089.0,412119.0,415947.0,0.93
I,Accommodation and Food Service,4,Total annual receipts of enterprises,million NTD,35111.0,63736.0,152397.0,239271.0,329071.0,391356.0,561235.0,878340.0,855638.0,-2.58
I,Accommodation and Food Service,5,Total annual expenditures of enterprises,million NTD,33174.0,57514.0,136171.0,217323.0,285668.0,326379.0,461787.0,749596.0,774925.0,3.38
I,Accommodation and Food Service,6,Total annual output of enterprises,million NTD,32998.0,59410.0,142925.0,226458.0,310173.0,373742.0,543358.0,851135.0,808802.0,-4.97
I,Accommodation and Food Service,7,Gross value added of enterprises,million NTD,15131.0,28740.0,70978.0,112806.0,144325.0,182601.0,278279.0,403644.0,386714.0,-4.19
I,Accommodation and Food Service,8,Net assets in actual use (year-end),million NTD,82249.0,122216.0,443055.0,552937.0,745247.0,832128.0,1119174.0,1646854.0,2195680.0,33.33
I,Accommodation and Food Service,9,Net fixed assets in actual use (year-end),million NTD,72016.0,103755.0,394652.0,455184.0,635689.0,673494.0,929000.0,1344861.0,1715954.0,27.59
I,Accommodation and Food Service,10(1),Average number of employees per enterprise,persons,5.6,5.2,5.3,5.9,4.0,3.6,3.7,4.1,4.1,-0.85
I,Accommodation and Food Service,10(2),Average assets in actual use per enterprise,thousand NTD,4297.0,4457.0,11142.0,13588.0,11929.0,9377.0,9960.0,11385.0,13055.0,14.67
I,Accommodation and Food Service,11,Labour equipment ratio,thousand NTD,774.0,864.0,2109.0,2302.0,2947.0,2571.0,2672.0,2753.0,3184.0,15.66
I,Accommodation and Food Service,12,Labour productivity,thousand NTD,142.0,203.0,338.0,470.0,571.0,564.0,664.0,675.0,561.0,-16.89
I,Accommodation and Food Service,13(1),Gross value added per NTD of assets in actual use,NTD,0.18,0.24,0.16,0.2,0.19,0.22,0.25,0.25,0.18,-28.14
I,Accommodation and Food Service,13(2),Gross value added per NTD of fixed assets in actual use,NTD,0.21,0.28,0.18,0.25,0.23,0.27,0.3,0.3,0.23,-24.92
I,Accommodation and Food Service,14,Labour compensation as % of total expenditures,%,22.66,27.17,29.0,31.21,23.28,29.59,29.23,26.41,28.71,2.3
I,Accommodation and Food Service,15(1),Value-added ratio,%,45.85,48.38,49.66,49.81,46.53,48.86,51.21,47.42,47.81,0.39
I,Accommodation and Food Service,15(2),Profit ratio,%,5.52,9.76,10.65,9.17,13.19,16.6,17.72,14.66,9.43,-5.23
I,Accommodation and Food Service,15(3),Asset turnover ratio,%,41.73,51.46,33.59,42.52,43.54,46.17,49.4,52.87,37.67,-15.2
H,Transportation and Storage,1,Number of enterprises (year-end),establishments,14790.0,34453.0,46098.0,61418.0,63384.0,59453.0,54614.0,47835.0,46420.0,-2.96
H,Transportation and Storage,2,Number of employees (year-end),persons,266291.0,298858.0,309433.0,356905.0,364182.0,361140.0,356077.0,377439.0,383245.0,1.54
H,Transportation and Storage,3,Average annual labour compensation per employed worker,NTD,149480.0,203897.0,392599.0,511857.0,608081.0,632103.0,706004.0,762666.0,824241.0,8.07
H,Transportation and Storage,4,Total annual receipts of enterprises,million NTD,139482.0,244678.0,429774.0,679518.0,846585.0,1151678.0,1326127.0,1438149.0,2395587.0,66.57
